"long","lat","age"
121.51281,25.06852,4
121.5711,25.08393,4
121.57088,25.08399,4
121.56243,25.08361,4
121.57701,25.05933,4
121.52725,25.04193,4
121.58928,25.05951,4
121.51737,25.02441,4
121.51737,25.02437,4
121.51737,25.02434,4
121.50253,25.02368,4
121.51107,25.13941,4
121.51104,25.13949,4
121.51112,25.13949,4
121.5111,25.13934,4
121.5411,25.13592,4
121.54083,25.13585,4
121.54076,25.13606,4
121.55469,24.99526,4
121.55466,24.99523,4
121.55462,24.99522,4
121.55458,24.99518,4
121.55467,24.99517,4
121.55461,24.99512,4
121.56014,24.99643,4
121.61612,25.0584,4
121.54443,25.04372,4
121.54443,25.04389,4
121.54443,25.04381,4
121.54444,25.04398,4
121.54444,25.04406,4
121.61612,25.04869,4
121.61666,25.04202,4
121.50399,25.08924,4
121.51944,25.10279,4
121.49835,25.03284,4
121.5475,25.02107,4
121.5476,25.02096,4
121.58239,25.08015,4
121.52456,25.10308,4
121.52456,25.10305,4
121.52456,25.10301,4
121.52456,25.10297,4
121.52445,25.10321,4
121.52436,25.10321,4
121.52457,25.1032,4
121.52456,25.10294,4
121.52456,25.1029,4
121.52456,25.10287,4
121.52456,25.10284,4
121.52456,25.1028,4
121.52456,25.10276,4
121.52456,25.10316,4
121.52456,25.10312,4
121.54802,24.999,4
121.54822,24.99853,4
121.54769,24.99903,4
121.54784,24.99907,4
121.54771,24.99854,4
121.54761,24.99879,4
121.53358,25.03998,4
121.53371,25.03998,4
121.49816,25.12836,4
121.49803,25.12848,4
121.5049,25.12806,4
121.50483,25.12821,4
121.50509,25.12817,4
121.50521,25.12824,4
121.505,25.1283,4
121.50509,25.12837,4
121.53098,25.11797,4
121.53102,25.11796,4
121.53105,25.11796,4
121.53138,25.11771,4
121.58674,25.04386,4
121.58674,25.04381,4
121.58674,25.04374,4
121.46875,25.12615,4
121.52084,25.06095,4
121.52094,25.06094,4
121.52537,25.03595,4
121.57814,25.0771,4
121.57819,25.07707,4
121.57816,25.07701,4
121.5781,25.07703,4
121.54553,25.06054,4
121.58553,25.05995,4
121.59403,25.04828,4
121.59402,25.04813,4
121.59369,25.04821,4
121.55169,25.13982,4
121.55162,25.1398,4
121.55182,25.13989,4
121.55176,25.13986,4
121.53102,25.10576,4
121.53113,25.10582,4
121.57647,25.07802,4
121.52709,25.03582,4
121.54176,25.12122,4
121.57833,25.05953,4
121.57857,25.05969,4
121.47348,25.12571,4
121.52301,25.06633,4
121.52302,25.0664,4
121.52319,25.06641,4
121.52338,25.06641,4
121.52703,25.06498,4
121.52308,25.06664,4
121.52312,25.06664,4
121.52303,25.06664,4
121.52338,25.06633,4
121.52333,25.06634,4
121.52323,25.06634,4
121.52316,25.06634,4
121.52348,25.06633,4
121.52343,25.06633,4
121.50993,25.0894,4
121.52941,25.04712,4
121.52945,25.04706,4
121.52402,25.07139,4
121.5499,25.06064,4
121.49981,25.14243,4
121.49977,25.14242,4
121.59979,25.06007,4
121.46578,25.12444,4
121.4658,25.12452,4
121.46579,25.12448,4
121.54274,25.00556,4
121.54284,25.00565,4
121.54279,25.0057,4
121.54264,25.00575,4
121.5426,25.00571,4
121.54259,25.00568,4
121.54257,25.00566,4
121.54263,25.00559,4
121.55117,25.02429,4
121.51654,25.06271,4
121.50889,25.05069,4
121.56902,25.02235,4
121.56903,25.02238,4
121.50637,25.03325,4
121.50644,25.03327,4
121.46619,25.12994,4
121.57883,25.05865,4
121.56149,24.99694,4
121.56143,24.99696,4
121.50109,25.09088,4
121.50105,25.09092,4
121.5588,24.99199,4
121.55881,24.99191,4
121.55884,24.99181,4
121.55898,24.99188,4
121.55898,24.99177,4
121.55901,24.99169,4
121.5589,24.9916,4
121.55892,24.99153,4
121.55895,24.99144,4
121.55898,24.99135,4
121.55907,24.9915,4
121.47201,25.12834,4
121.50411,25.1293,4
121.50399,25.12926,4
121.50389,25.12921,4
121.50381,25.12916,4
121.60234,25.08497,4
121.5881,25.07865,4
121.58815,25.07866,4
121.56803,25.05384,4
121.50333,25.14503,4
121.52595,25.02335,4
121.52589,25.02339,4
121.52584,25.02343,4
121.52556,25.02328,4
121.5256,25.02324,4
121.52565,25.0232,4
121.5257,25.02315,4
121.55219,25.08041,4
121.51414,25.11046,4
121.51648,25.02915,4
121.51665,25.02885,4
121.50515,25.12546,4
121.50521,25.12552,4
121.50527,25.12558,4
121.50531,25.12567,4
121.50536,25.12561,4
121.5054,25.12553,4
121.50546,25.12543,4
121.50551,25.12535,4
121.50555,25.12526,4
121.50543,25.12519,4
121.51131,25.08914,4
121.51129,25.08926,4
121.52954,25.11733,4
121.50995,25.05991,4
121.50945,25.05989,4
121.51103,25.03518,4
121.49848,25.14081,4
121.53487,25.03577,4
121.50644,25.03815,4
121.5371,25.04602,4
121.52885,25.13315,4
121.52899,25.13314,4
121.52913,25.13313,4
121.5065,25.03316,4
121.50644,25.03313,4
121.46806,25.13134,4
121.53452,25.01179,4
121.52736,25.05029,4
121.52738,25.05025,4
121.52742,25.05024,4
121.52748,25.05023,4
121.52736,25.05035,4
121.52742,25.05034,4
121.52736,25.05026,4
121.5078,25.03782,4
121.50778,25.03768,4
121.50797,25.03765,4
121.50808,25.03762,4
121.50454,25.14106,4
121.5187,25.02723,4
121.59455,25.08408,4
121.59439,25.08438,4
121.59376,25.08438,4
121.59417,25.08452,4
121.59411,25.08455,4
121.58258,25.05841,4
121.50587,25.13417,4
121.50966,25.07754,4
121.56448,25.04177,4
121.50698,25.08438,4
121.50693,25.08436,4
121.56369,25.08637,4
121.56312,25.08644,4
121.5478,25.09815,4
121.52667,25.05669,4
121.51706,25.11023,4
121.52168,25.04297,4
121.59034,25.08228,4
121.50629,25.04625,4
121.52668,25.1192,4
121.52674,25.11919,4
121.52662,25.1192,4
121.54115,25.03322,4
121.54422,25.04184,4
121.5057,25.08901,4
121.50568,25.08912,4
121.50515,25.0889,4
121.52721,25.06289,4
121.52734,25.06288,4
121.57561,25.07571,4
121.5755,25.07578,4
121.52318,25.12378,4
121.52329,25.12375,4
121.51957,25.02218,4
121.5385,25.04441,4
121.52637,25.0386,4
121.52435,25.09783,4
121.52433,25.09787,4
121.52425,25.09786,4
121.52437,25.09777,4
121.52404,25.09767,4
121.52403,25.09771,4
121.52402,25.09774,4
121.52401,25.09777,4
121.524,25.09779,4
121.52399,25.09781,4
121.52429,25.09796,4
121.52434,25.09797,4
121.5744,25.08601,4
121.51331,25.11965,4
121.5342,25.04763,4
121.52964,25.04412,4
121.51286,25.04221,4
121.58051,25.0613,4
121.51811,25.1072,4
121.51826,25.1071,4
121.51818,25.10702,4
121.5144,25.06024,4
121.54101,24.99046,4
121.49133,25.02365,4
121.49138,25.02355,4
121.52752,25.03885,4
121.52471,25.12054,4
121.50584,25.12784,4
121.50592,25.12791,4
121.50588,25.12799,4
121.50581,25.12811,4
121.50574,25.12821,4
121.50564,25.12817,4
121.56271,25.02662,4
121.61167,25.06009,4
121.61171,25.06014,4
121.61174,25.06018,4
121.61177,25.06021,4
121.6118,25.06025,4
121.61183,25.06028,4
121.61185,25.06032,4
121.61187,25.06038,4
121.61191,25.06039,4
121.61193,25.06043,4
121.50416,25.12722,4
121.50411,25.12734,4
121.50424,25.12739,4
121.54276,25.05342,4
121.53972,25.04823,4
121.57794,25.07757,4
121.50204,25.03945,4
121.50202,25.03927,4
121.52317,25.06121,4
121.53818,25.04562,4
121.53818,25.04559,4
121.49968,25.02286,4
121.54873,25.1349,4
121.54876,25.13506,4
121.54883,25.13516,4
121.54889,25.13522,4
121.54866,25.13494,4
121.62225,25.03821,4
121.6222,25.0382,4
121.62214,25.03821,4
121.62214,25.03812,4
121.52642,25.05589,4
121.52643,25.05594,4
121.52715,25.05575,4
121.52688,25.05576,4
121.52683,25.05576,4
121.5268,25.05576,4
121.52676,25.05576,4
121.52667,25.05577,4
121.52663,25.05577,4
121.52659,25.05577,4
121.52654,25.05578,4
121.5265,25.05577,4
121.52644,25.05578,4
121.52711,25.05575,4
121.52706,25.05576,4
121.52695,25.05576,4
121.52692,25.05576,4
121.52681,25.05605,4
121.52668,25.05607,4
121.52663,25.05609,4
121.52714,25.05601,4
121.52658,25.05609,4
121.52651,25.0561,4
121.52709,25.05602,4
121.52704,25.05602,4
121.5272,25.05578,4
121.5272,25.05583,4
121.5272,25.05587,4
121.5272,25.05591,4
121.52719,25.05595,4
121.52719,25.05599,4
121.59245,25.06576,4
121.59245,25.06568,4
121.59238,25.06561,4
121.59233,25.06561,4
121.59244,25.0656,4
121.59234,25.06566,4
121.50858,25.14095,4
121.50871,25.14044,4
121.50884,25.14069,4
121.50618,25.12737,4
121.50597,25.12767,4
121.50591,25.12765,4
121.50586,25.12763,4
121.50615,25.12745,4
121.50613,25.12751,4
121.50609,25.12761,4
121.50605,25.12768,4
121.49905,25.03838,4
121.49893,25.03838,4
121.51273,25.05708,4
121.56195,24.98818,4
121.61368,25.04763,4
121.57053,25.01862,4
121.57052,25.01855,4
121.5705,25.01846,4
121.57048,25.01837,4
121.57046,25.0183,4
121.57043,25.01822,4
121.53255,25.05667,4
121.53255,25.05673,4
121.49439,25.14457,4
121.49436,25.14452,4
121.56059,25.09146,4
121.56068,25.09145,4
121.56077,25.09146,4
121.56087,25.09146,4
121.50955,25.05961,4
121.50947,25.05961,4
121.50947,25.05966,4
121.52593,25.05002,4
121.54445,25.05799,4
121.53242,25.03516,4
121.57744,25.0745,4
121.51746,25.09131,4
121.49914,25.12246,4
121.56436,25.07805,4
121.55898,24.98061,4
121.51673,25.07156,4
121.51722,25.07076,4
121.54515,25.0501,4
121.52705,25.03696,4
121.53951,25.06442,4
121.56436,24.98328,4
121.56435,24.98339,4
121.56431,24.98349,4
121.56427,24.98359,4
121.56419,24.98363,4
121.53102,25.04563,4
121.50954,25.08931,4
121.5746,25.04726,4
121.5746,25.04722,4
121.52831,25.01984,4
121.52825,25.01991,4
121.52822,25.01996,4
121.52847,25.01969,4
121.52842,25.01973,4
121.52835,25.0198,4
121.52853,25.01964,4
121.52858,25.01969,4
121.52866,25.01974,4
121.5287,25.0198,4
121.52847,25.02016,4
121.52853,25.02011,4
121.52858,25.02007,4
121.52865,25.02,4
121.52869,25.01995,4
121.52874,25.01991,4
121.52877,25.01988,4
121.54931,25.08484,4
121.58409,25.08558,4
121.53847,25.06441,4
121.54214,25.04701,4
121.51103,25.08012,4
121.51105,25.08009,4
121.53162,25.09514,4
121.53744,25.04446,4
121.53766,25.04445,4
121.53787,25.04444,4
121.5381,25.04443,4
121.53755,25.04401,4
121.53776,25.04402,4
121.53799,25.04403,4
121.48451,25.13964,4
121.512,25.0523,4
121.52514,25.02738,4
121.58361,25.08908,4
121.58353,25.08914,4
121.58345,25.0892,4
121.58337,25.08926,4
121.58331,25.08932,4
121.58373,25.08929,4
121.59714,25.06476,4
121.59711,25.06486,4
